Spanish words
Random Spanish words I have picked up while learning. Review material.
habrá, there will be
el triángulo, triangle
la forma, shape
el lado, side
el césped, grass
cortar, cut
afectar, affect
eliminar, eliminate
quitar, remove, take away
insertar, insert
en lo cuál, in which, which
la lista, list
el pelo, hair
peludo, hairy
la ala, wing
con alas, winged
alguien, someone
memorizar, memorize
propio, own
una vez que, once
ubicado, located
elegir, choose
forzar, force
cierre, closure, closing
detención, stoppage, stopping
en el fondo, in the background
el segundo plano, background
guardar, save, put away
descargar, download
mojado, wet
el mentón, chin
omitir, omit, skip
saltarse, skip
salta te el video, skip the video
enviar, send
reproducir un video, play a video
fuera, away
él está fuera, he is away
muy lejos, far away
