Spanish2
More complex, less common words.
la grieta, rift, fissure
el veneno, poison
el hogar, home
corrupto, corrupt
enconarse, fester
crecer, grow (in size)
la pureza, purity
debajo de, beneath
la porquería, filth
la escisión, rift
prestar, lend
la ayuda, aid
aumentar, grow (in number)
limpiar, cleanse
corromper, corrupt
envenenar, poison
encendido, glowing
indigno de, beneath (unworthy of)
brillar, glow
purificar, cleanse
el peor, the worse
el causante, offender, troublemaker
aceptar, accept
declinar, decline
suave, smooth, subtle
empapado, soaked
rodear, surround
sucumbir, succumb
contaminar, pollute, poison, contaminate
el culpable, offender, person to blame
la debilidad, weakness
convertirse en, become
blando, soft
la infección, infection
extender los brazos, spread arms
el mastodonte, behemoth (creature)
familiar, familiar
el intruso, intruder
amable, kind
el cobarde, coward
acercarse a, approach
la falta de solidez, weakness
el gigante, behemoth (organization)
aplastar, crush
el favor, favor
aburrirse de, tire of
cobarde, cowardly
propagar la infección, spread the infection
triturar, grind
aproximarse, approach
el pueblo, village
las provisiones, supplies
asqueroso, disgusting
traer, bring
la afirmación, claim
confirmar, verify
recuperar, retrieve
la salida, output, exit
afirmar, claim
